clin_group,n,sift_nonmissing,polyphen_nonmissing,both_nonmissing,sift_coverage,polyphen_coverage,both_coverage,dataset
VUS,585,582,125,125,0.9948717948717949,0.21367521367521367,0.21367521367521367,before
benign,31,31,11,11,1.0,0.3548387096774194,0.3548387096774194,before
likely_benign,132,127,32,32,0.9621212121212122,0.24242424242424243,0.24242424242424243,before
likely_pathogenic,160,154,0,0,0.9625,0.0,0.0,before
other,12,10,0,0,0.8333333333333334,0.0,0.0,before
pathogenic,514,512,85,85,0.9961089494163424,0.16536964980544747,0.16536964980544747,before
VUS,585,583,581,581,0.9965811965811966,0.9931623931623932,0.9931623931623932,after
benign,35,34,30,30,0.9714285714285714,0.8571428571428571,0.8571428571428571,after
likely_benign,149,135,116,116,0.9060402684563759,0.7785234899328859,0.7785234899328859,after
likely_pathogenic,160,154,153,153,0.9625,0.95625,0.95625,after
other,12,10,9,9,0.8333333333333334,0.75,0.75,after
pathogenic,517,515,511,511,0.9961315280464217,0.988394584139265,0.988394584139265,after
